,Epoch,TrainingLoss,TrainingAccuracy,ValidationLoss,ValidationAccuracy
0,1,1.3457306883551858,0.2840909090909091,1.5109866424040361,0.25
0,2,1.3447035334327004,0.3113636347380551,1.4132310260425915,0.25
0,3,1.339871801029552,0.2727272719144821,1.4180135943672874,0.4119318181818182
0,4,1.339347126267173,0.30227272673086686,1.4239967519586736,0.25
0,5,1.3272528756748547,0.3113636374473572,1.4617186026139692,0.25
0,6,1.315513743053783,0.2931818187236786,1.4460691755468196,0.25142045454545453
0,7,1.3044386560266668,0.32500000162558124,1.3838795098391445,0.4971590909090909
0,8,1.3084920146248558,0.31363636472008444,1.4324628873304888,0.5
0,9,1.3035022778944536,0.3613636363636364,1.4131018356843428,0.25
0,10,1.297840241952376,0.36590909253467213,1.396576848897067,0.31392045454545453
0,11,1.2527914068915627,0.41136363744735716,1.3675523346120662,0.34375
0,12,1.316590469533747,0.36363636417822404,1.4214893037622625,0.26704545454545453
0,13,1.2952193541960282,0.3840909090909091,1.355239992791956,0.4161931818181818
0,14,1.252593790401112,0.3977272721854123,1.2916676131161777,0.5170454545454546
0,15,1.2395641521974043,0.4840909058397466,1.2838337096300991,0.49857954545454547
0,16,1.2634163097901778,0.42272727272727273,1.3712790987708352,0.5696022727272727
0,17,1.2164127696644176,0.44545454708012666,1.2407608248970725,0.5440340909090909
0,18,1.205515007539229,0.44772727272727275,1.1983666311610828,0.5383522727272727
0,19,1.1715776205062867,0.5068181801926006,1.334328131242232,0.3821022727272727
0,20,1.2080883524634622,0.4659090892835097,1.1501964005556973,0.4502840909090909
0,21,1.213300353830511,0.4522727288983085,1.2417464635588906,0.4744318181818182
0,22,1.1647124962373214,0.504545452378013,1.2118984081528403,0.4659090909090909
0,23,1.222540142319419,0.4659090892835097,1.3325132835995068,0.5028409090909091
0,24,1.2290421009063721,0.45681818181818185,1.243210326541554,0.4758522727272727
0,25,1.130626654624939,0.5022727305238898,1.2075171064246784,0.44176136363636365
0,26,1.1974130413749002,0.5045454561710357,1.2278910929506475,0.53125
0,27,1.1807468977841464,0.45454545562917537,1.1794373067942532,0.46448863636363635
0,28,1.1365374825217507,0.5113636374473571,1.1587276729670437,0.4786931818181818
0,29,1.14578247720545,0.5272727267308669,1.2371845299547368,0.5184659090909091
0,30,1.0601135448975996,0.5568181850693442,1.1484944115985523,0.4914772727272727
0,31,1.1478611729361794,0.552272725647146,1.209016198461706,0.5440340909090909
0,32,1.1338865691965276,0.518181819265539,1.161673833023418,0.5298295454545454
0,33,1.0619162938811562,0.570454542203383,1.1455332040786743,0.5625
0,34,1.0826419429345564,0.5659090898253701,1.110080821947618,0.5639204545454546
0,35,1.0511833169243552,0.5659090919928117,1.152521388097243,0.5355113636363636
0,36,1.0342922297391024,0.5795454523780129,1.1227296970107339,0.5923295454545454
0,37,1.0086874181574041,0.5840909090909091,1.0158561684868552,0.6349431818181818
0,38,0.9400200128555298,0.6340909101746299,0.9840203984217211,0.5909090909090909
0,39,0.9610078844157133,0.6272727240215649,1.1275584643537349,0.484375
0,40,1.0228518334302035,0.6227272738109936,1.0475208271633496,0.5227272727272727
0,41,0.9744310216470198,0.6136363636363636,0.9851643930781971,0.640625
0,42,0.9530705516988581,0.6409090909090909,0.9675211364572699,0.6534090909090909
0,43,0.9796608307144858,0.6431818214329806,0.9463578300042585,0.6534090909090909
0,44,0.915192466432398,0.6318181850693443,0.9453210261735049,0.6079545454545454
0,45,0.8908806324005127,0.6659090919928117,0.9802763082764365,0.6193181818181818
0,46,0.968869044563987,0.5909090919928117,0.9835629083893516,0.640625
0,47,0.8967069712552157,0.6727272694761103,0.9020076068964872,0.6463068181818182
0,48,0.8671909993345087,0.6431818170980974,0.8982020833275535,0.6789772727272727
0,49,0.8973043300888756,0.6522727251052857,0.9249925559217279,0.6434659090909091
0,50,0.8831947727636857,0.6590909123420715,0.9086599404161627,0.6747159090909091
0,51,0.8883955326947299,0.654545457796617,0.939185922796076,0.6704545454545454
0,52,0.8376401326873085,0.6772727261890065,0.8547749085859819,0.6505681818181818
0,53,0.8485293204134161,0.6613636363636364,0.8304591422731226,0.6974431818181818
0,54,0.8481163382530212,0.6704545443708246,0.8368070152672854,0.6832386363636364
0,55,0.8407257394357162,0.6681818214329807,0.880636757070368,0.6846590909090909
0,56,0.7790377952835776,0.7090909101746299,0.8131988048553467,0.6803977272727273
0,57,0.8358365719968622,0.686363638531078,0.7751770507205616,0.6931818181818182
0,58,0.7935895778916099,0.6886363636363636,0.8654846332289956,0.6917613636363636
0,59,0.8374202901666815,0.6772727294401689,0.9336322464726188,0.6534090909090909
0,60,0.7493202718821439,0.6840909090909091,0.7521314810622822,0.7159090909090909
