,Epoch,TrainingLoss,TrainingAccuracy,ValidationLoss,ValidationAccuracy
0,1,1.3603826761245728,0.32499998807907104,1.3954424858093262,0.25
0,2,1.3515746593475342,0.2863636314868927,1.3911442756652832,0.25
0,3,1.3397700786590576,0.32499998807907104,1.4109036922454834,0.2542613744735718
0,4,1.2980250120162964,0.3636363744735718,1.3823641538619995,0.28835228085517883
0,5,1.311086893081665,0.3863636255264282,1.3834500312805176,0.34659090638160706
0,6,1.3155808448791504,0.4000000059604645,1.3910415172576904,0.25
0,7,1.2562289237976074,0.4363636374473572,1.295832872390747,0.44034090638160706
0,8,1.190922737121582,0.4522727131843567,1.2595568895339966,0.4900568127632141
0,9,1.173657774925232,0.5,1.3461904525756836,0.4375
0,10,1.1543338298797607,0.4749999940395355,1.2747553586959839,0.4857954680919647
0,11,1.1465494632720947,0.5340909361839294,1.245666265487671,0.5284090638160706
0,12,1.0532780885696411,0.5318182110786438,1.1922736167907715,0.5056818127632141
0,13,1.0823215246200562,0.5272727012634277,1.2251449823379517,0.45596590638160706
0,14,1.058311104774475,0.543181836605072,1.201974868774414,0.5170454382896423
0,15,1.025927186012268,0.574999988079071,1.1181230545043945,0.53125
0,16,1.0285743474960327,0.5727272629737854,1.1323919296264648,0.515625
0,17,1.0348516702651978,0.574999988079071,1.1819939613342285,0.5099431872367859
0,18,1.0169484615325928,0.5636363625526428,1.0494426488876343,0.53125
0,19,0.9971581697463989,0.5477272868156433,1.1217831373214722,0.5099431872367859
0,20,0.9827545285224915,0.5613636374473572,1.0954042673110962,0.4488636255264282
0,21,1.0019160509109497,0.5568181872367859,1.132812261581421,0.5454545617103577
0,22,0.9622127413749695,0.6295454502105713,1.1416690349578857,0.6051136255264282
0,23,0.9306936264038086,0.6181818246841431,1.0556808710098267,0.5951704382896423
0,24,1.0001224279403687,0.5659090876579285,1.2650837898254395,0.4886363744735718
0,25,1.0240033864974976,0.550000011920929,1.1139578819274902,0.5298295617103577
0,26,0.915115475654602,0.5931817889213562,1.0652964115142822,0.5568181872367859
0,27,0.9506465792655945,0.6090909242630005,1.0787168741226196,0.5355113744735718
0,28,0.9484331011772156,0.5909090638160706,1.0702929496765137,0.53125
0,29,0.9141951203346252,0.6113636493682861,1.0302517414093018,0.5696022510528564
0,30,0.8775542974472046,0.6363636255264282,1.0397906303405762,0.5994318127632141
0,31,0.8996838927268982,0.6522727012634277,1.0788477659225464,0.53125
0,32,0.8932512402534485,0.625,0.9859720468521118,0.6178977489471436
0,33,0.8546955585479736,0.6363636255264282,0.9898821115493774,0.6107954382896423
0,34,0.8556873202323914,0.6295454502105713,0.9867274761199951,0.5823863744735718
0,35,0.8326882123947144,0.6340909004211426,0.9662864208221436,0.6122159361839294
0,36,0.8405006527900696,0.6590909361839294,1.0519105195999146,0.5710227489471436
0,37,0.836454451084137,0.6818181872367859,0.933934211730957,0.6463068127632141
0,38,0.8091052770614624,0.6727272868156433,0.9178335666656494,0.6392045617103577
0,39,0.8030844926834106,0.7136363387107849,0.9964905381202698,0.6392045617103577
0,40,0.8283959031105042,0.675000011920929,0.9197004437446594,0.6022727489471436
0,41,0.7794246077537537,0.6931818127632141,0.948803186416626,0.6235795617103577
0,42,0.8164685368537903,0.6727272868156433,0.9243728518486023,0.5582386255264282
0,43,0.8391243815422058,0.668181836605072,0.9819226861000061,0.6122159361839294
0,44,0.8334219455718994,0.6840909123420715,0.9056567549705505,0.6321022510528564
0,45,0.8547651767730713,0.668181836605072,1.0275802612304688,0.5710227489471436
0,46,0.797381579875946,0.6636363863945007,0.9667039513587952,0.6463068127632141
0,47,0.7947744727134705,0.6840909123420715,0.8853220343589783,0.5610795617103577
0,48,0.8242906928062439,0.6977272629737854,0.8649420142173767,0.6590909361839294
0,49,0.6810879707336426,0.7431818246841431,0.8930338025093079,0.6349431872367859
0,50,0.7728076577186584,0.7090908885002136,0.8295392990112305,0.6590909361839294
0,51,0.8061022162437439,0.6954545378684998,0.9138490557670593,0.640625
0,52,0.8079900741577148,0.6840909123420715,0.8529080748558044,0.6278409361839294
0,53,0.786139190196991,0.6840909123420715,0.885033369064331,0.6690340638160706
0,54,0.7793148159980774,0.6931818127632141,0.9679521918296814,0.5767045617103577
0,55,0.7846401333808899,0.7022727131843567,1.0514365434646606,0.6235795617103577
0,56,0.7656763792037964,0.7227272987365723,0.9313419461250305,0.6221590638160706
0,57,0.7873458862304688,0.6909090876579285,0.8664503693580627,0.6732954382896423
0,58,0.786251962184906,0.6659091114997864,0.883976936340332,0.6164772510528564
0,59,0.72458815574646,0.7340909242630005,0.8270587921142578,0.6519886255264282
0,60,0.7148215770721436,0.6954545378684998,0.8313806056976318,0.6633522510528564
0,61,0.7267410755157471,0.7386363744735718,0.8183744549751282,0.6860795617103577
0,62,0.7576743960380554,0.7272727489471436,0.8712812066078186,0.5965909361839294
0,63,0.7338131070137024,0.7045454382896423,0.8838178515434265,0.6590909361839294
0,64,0.7319714426994324,0.7318181991577148,0.8655984997749329,0.6477272510528564
0,65,0.7465537786483765,0.6977272629737854,0.8971434235572815,0.6477272510528564
0,66,0.7602553367614746,0.7136363387107849,0.8370403051376343,0.6676136255264282
0,67,0.684588611125946,0.7181817889213562,0.912794291973114,0.609375
0,68,0.6579397320747375,0.7181817889213562,0.7835671901702881,0.6576704382896423
0,69,0.7431603670120239,0.706818163394928,0.856221616268158,0.6292613744735718
0,70,0.6438154578208923,0.7568181753158569,0.8370155096054077,0.6463068127632141
0,71,0.6970758438110352,0.7363636493682861,0.821089506149292,0.6377840638160706
0,72,0.6867316961288452,0.7386363744735718,0.8020092248916626,0.6335227489471436
0,73,0.6243298649787903,0.7568181753158569,0.7700552344322205,0.6661931872367859
0,74,0.6433123350143433,0.7590909004211426,0.7185218334197998,0.6775568127632141
0,75,0.6495387554168701,0.7340909242630005,0.7589005827903748,0.6605113744735718
0,76,0.6105329394340515,0.7636363506317139,0.6774587631225586,0.6860795617103577
0,77,0.6471638083457947,0.7454545497894287,0.7739722728729248,0.6704545617103577
0,78,0.6339020729064941,0.7295454740524292,0.7218992710113525,0.6832386255264282
0,79,0.6833630204200745,0.7409090995788574,0.7625455260276794,0.6832386255264282
0,80,0.6558866500854492,0.7659090757369995,0.7956068515777588,0.6534090638160706
0,81,0.6608491539955139,0.7363636493682861,0.794253945350647,0.6690340638160706
